id,data,label
1,viper kém cỏi tới mức ngay cả cúp cũng đéo bú được hả? fan hay anti vậy trời,Negative
2,Đéo thấy vị trí ad có con cặc gì mà không thoả mãn í 😂 trong bài cũng đéo nhắc đến 2 mid luôn,Positive
3,"2026 rồi các em ơi, trẻ con đéo phải lí do để các em xạo lồn trên không gian mạng xong phủi đít đi là xong đâu. :) Bản thân em có tự hỏi là ""Nếu lúc đấy mình giải quyết và xin lỗi hẳn hoi thì chắc chuyện không đi xa đến thế"" không? VẪN ĐÉO ỦNG HỘ DOXXING NHÉ nhưng úp bô nguyên cộng đồng trong khi em là cái đứa gây sự trước thì em xàm lồn đéo chịu được.",Negative
4,"Địt cụ mấy con bông tuyết nhảy dựng ít thôi =))))) đéo ai động đến đâu mà tap hết người này người nọ xong bắt người này người nọ phải đi xin lỗi =))))) cm đ phải vua chúa đâu quay về mặt đất đi
Anh Lu bảo “Teddy bắn cháy quá thì slot asiad đâu” thế cũng nhảy dựng lên def bằng cả tính mạng. Trả lại cho các bố cái cộng đồng ngày xưa đi đcm cái cộng đồng bây giờ rác rưởi vcc chỉ vì mấy con dẩm l",Negative
5,"Mẹ bỉm ơi , meh bỉm lớp mấy rồi zọ , mẹ bỉm coi chừng có ngày nó vạch l mẹ bỉm ra húp vội chứ ở đó mà bé bé",Negative
6,"Ơ nhưng tao chửi cả thằng bố con mẹ m lẫn ông nôị bà nội ông ngoại bà ngoại m là súc vật mà , nhờ m bảo vệ tuyển thủ trong khi nó đéo cần đấy ? Như nào nào ?",Negative
7,Thôi mấy con dẩm ko thích nghe thì biến mẹ đi. Cứ soi soi rồi khóc lóc làm cc gì? Biết bản thân mình yếu đuối nhạy cảm thì né đi cho trong,Negative
8,"Bọn tao nói th Guma mấy trận feed lồi cứt ngu như chó này ? Vô mà chửi ? Sợ buồi. Yên tâm so độ ngu đéo biết ai ngu hơn ai đâu, lũ thiểu năng chúng mày thì biết cái loz gì về LMHT ?",Negative
9,"Chưa bảo mấy trận feed tụt l ra là đánh ngu như chó là may, còn mấy thằng óc cặc dẩm loz ngang mấy con bông tuyết thì sleep, cứt đái trôi sông",Negative
10,Si thấy bạn ấy trong tay yone rất ngầu ạ,Positive
11,"""Có rất nhiều fan vô cùng mong muốn tôi được lựa chọn trở thành tuyển thủ Quốc gia""
Nhớ 2025 mong ẻm đánh nhiều, đánh thành tích thật tốt vì năm tới xét cái này. Năm nay được đi t rất vui, nhớ hôm đó t đã cười khờ suốt 1 buổi chiều và thấy trên pop e nhắn "" Xin chào mình là adc đội tuyển quốc gia"" t vẫn vui v. Có lẽ e ấy cũng đợi rất lâu rồi, và mong kết quả thật tốt",Positive
12,Khóc to lên conchongu bông tuyết k não con mẹ chúng m dốt esport này là v chứ đ phải idol k pop,Negative
13,mà nhìn mặt nó dthw quá kh có tính sát thương =))))))))))),Positive
14,"Thà joke với viper các mẹ bỉm nhạy cảm giãy thì còn được, chứ joke với thằng teddy, ng đang ở đội bxh ở đáy mà các mẹ bỉm tin không giỡn và tin teddy có khả năng tranh asiad với guma thì mẹ bỉm đẳng cấp bông tuyết rồi",Neutral
15,Còn mấy con chó của guma nuôi cũng khá là ok . Khen teddy thôi mà mấy con chó guma nuôi nó đã táp rồi . Chó ngoan chó ngoan,Negative
16,"2 pha quét sạch, 1 pha 5k dame, 1 pha 10k dame.
AD Carry lực nhất thế giới",Positive
17,"mấy đứa chê Guma đúng ếch😌 chỉ thấy bề nổi của tảng băng chìm😌 phải thấy KDA các ván cao chót vót, phải nhiều penta thì mới là oai, chứ có baoh xem quá trình tuyển thủ đi đường hay nhìn dam cuối trận tổng là bao nhiêu đâu😌",Positive
18,"ngầm ý bảo thằng zeus không hy sinh thì hơn cả nực cười 😂😂😂😂 mấy con loz lại bắt đầu kêu em tao bắt đầu 1 vụ cƯớP kkkk chả hiểu cướp cái lồn gì khi nó là lựa chọn ƯU TIÊN và DUY NHẤT. ONE AND ONLY đéo bàn cãi, giãy thì viết khiếu nại, xàm lồn ăn chửi đéo oan. tao chính là chửi CEO GENG hôm nay đấy, cư xử ngu dốt đến tột cùng",Positive
19,ván 1 oánh max ping nên ván 2 chill chill đẩy lẻ kakakakkakak ĂN POM TỐT LN ẤY CHỨ EM ZÚT TÔI ĐÓ CLASSIC RESPECT,Positive
20,"jayce bị gank và lần nào nằm xuống cũng lấy rất nhiều tài nguyên của đội bạn và lúc nào nằm cũng có rừng sup team bạn lên kèm. 30k damage còn nguyên, đẩy lính, proxy trụ đều tốt, giữ tempo, phối hợp 3 đường để áp lực đội bạn. ncla mid rừng game 3 của HLE đánh bay nên jayce ván này đẩy lẻ cánh và join giao tranh mục tiêu là ổn. nhưng nhìn chung con jayce miễn bàn và cực hay kakaka vẫn lâng lâng sau pha quad từ tối 😍 ",Positive
21,"Hôm qua tui chơi gem xong ngủ luôn tới trưa nay mới động vào điện thoại thì thấy nổ tung rồi, giờ lướt lại mới thấy nhiều bạn giải thích rồi, miễn là lịch sự với họ thì họ sẵn lòng nói rõ mà. Vào cắn rồi bảo sao người ta nhạy cảm",Positive
22,Năm ngoái thấy tội nhóc này nhất luôn. Smash vs zeus là 2 đứa bị chửi nhiều mà còn chửi oan ức vi ci eo. Năm nay thấy e nó vui vẻ ở dk cũng mừng cho ẻm,Positive
23,"Tính ra cái câu joke đó hài vcc, mà chắc mẹ bĩm tới tháng, hơi nhạy cảm nên phải lên thread khóc cho thiên hạ xem, mà hiệu quả thật, hoá ra trên cái nền tảng này lắm con hãm lz giống nhau",Positive
24,"Cắt tóc đẹp trai, trẻ trâu v mà 😭",Positive
25,"ui siu cảm động có thể khót rơi nước mắt đc lun😭 chộm día qua 7 năm gồi vẫn chưa chia tay nhưn tui ham chơi quá nên bạn mún tui chơi cho đã, ủng hộ tui đi chơi hết mình để chán rồi mứi cứi nên tui đi sạch sành sanh từ concert quốc nội tới quốc ngoại từ đêm nhạc nhóm tới đêm nhạc solo rồi fanmeeting quốc nội và sắp tới là fmt quốc ngoại nữa😂
trộm vía hnay tui vui quá nên tui yap khoe 1 tí vì mọi người ko bíc tui là ai, chứ khum dám khoe ngoài đời vì tui đổ tiền nuôi trai nhìu qué r😂",Positive
26,"ôi con caitlyn đỉnh nóc kịch trần của tôi😭
""ôi Caitlyn quả là bậc tuyệt thế đại mỹ nhân khuynh quốc khuynh thành chim sa cá lặn hoa ghen đua thắm liễu hờn kém xanh. Nàng đẹp mỹ miều như tiên nữ trong tranh bước ra, nàng kiều nữ triệu hai dùng súng chim 6 nòng cũng phải nhường nàng nếu so về sắc đẹp""
đồng đội chỉ cần bảo kê caitlyn thui caitlyn pắn hết, tại jhin hôk có lên c44 trong kèo dới caitlyn á hihihi, mvp là rõ, quá tuỵt dời quá đã quá xịn i liove you",Positive
27,nhìn dmg caitlyn bắn ở tầm xa mà rỉ😛,Positive
28,Mấy con nứng lồn động tý rỉ nước :)),Negative
29,Xin lỗi vì đã kệ mẹ thay vì đi def cho thằng ad trẻ khác dù thằng ad nhà mình còn đang trầy trật với đám khốn nạn ngoài kia 😅🙏💦,Neutral
30,Ủa cái này là gì z mom ai đang rank ạ ?,Neutral
31,Ê nha ê nha dth dữ z tr 👉👈,Neutral
32,"Ngày đó k ai muốn claim thông điệp này, giờ thì ai cũng muốn claim:)))))",Positive
33,"không sao, cố gắng chờ em nó trở lại 🫳🏻",Neutral
34,t thấy mấy lần m dài tay ấm ớ rồi làm khùng làm điên rồi đấy? nhắm đéo focus được thằng m ghim trên post thì xoá mẹ đi ảnh hưởng đến nó với fan nó vãi l đấy? ngay cả trong tên thread của m cũng có liên quan đến nó đ đâu mà =))),Negative
35,thì vẫn là thành tích khi bợ đít cho t1 🥱 rời t1 ra đã có cái cúp cặc nào chưa mà gáy thế? hay thành tích gần nhất là top 10 nhục nhã nhất lck cup?,Negative
36,"fan guma toàn lũ rác rưởi mà b 😂 chửi smash đã là gì, chửi con mẹ oner là svks luôn cho nó khăng khít tình đồng đội mới chất 😂😂😂",Negative
37,uh bảo sao ai cũng ghét bọn lồn fan guma 😂,Negative
38,sợ vl =)))))) từ lúc ở t1 đã rác rưởi r ai ngờ sang hle còn rác rưởi hơn 😂,Negative
39,"Được cái tuyệt đối không tha cho T1 với tuyển thủ T1 luôn ta ơi, lúc nhà nó chơi Zigg thắng thì vẫn có đứa nó nhắc T1, nay fan T1 thuần khen T1 không nhắc đến tên ai thì
@sno_wball98 cũng phải chọt fan T1 1 cái , không quên được T1 hay luỵ nyc mà cứ phải dí mỏ vào chuyện nhà T1 thế em? Thay máu rồi mà em nhỉ 😞",Positive
40,Quá vớ vẩn và xàm l ! Dcme oner bị scam quả đau vãi l,Neutral
41,fan Zeus cũng k biết cái văn mẫu này ở đâu nữa=))) hàng trôi nổi k rõ nguồn gốc,Negative
42,T thấy giống Buzz bên Vlr á,Neutral
43,uiii tui xin ảnh với đc không?,Neutral
44,Keria t thấy dùng Tử Thần Đáy Sâu cũng 🔥 ko kém,Positive
45,"mé mấy nay out meta, vô chả hiểu gì :))",Neutral
46,1h thi tiếng anh đầu ra để tốt nghiệp mà giờ vẫn chưa thoát khỏi thành phố. Quá hot! Đúng là muốn nâng cao quan điểm thì phải có tí đỏ,Neutral
47,"Em biết các anh chị thích trai trẻ rồi, nma để ý th xạ thủ già của đội tuyển quốc gia này một tí 😔💔🐧",Neutral
48,"Fan đội khác tự dưng lại đi chĩa mỏ vào, rồi cái câu ""Việc nhà mày à?"" đâu phải tự dưng sinh ra =)) Giận quá mất khôn, nói khùng nói điên gì đâu không",Positive
49,cho…tui…hỏi…đại…gia…nào…vậy…ạ…?,Neutral
50,Hai lên gr lpl pass i ạa,Neutral
51,Đàn bò nhà ảnh nuôi còn kêu là ảnh chửi thì nghe thôi thì biết nước đi của ảnh quá đỉnh rồi.,Neutral
52,"Ôi mình đã bảo vệ thành công Guma trên mạng, chắc chắn anh ấy sẽ ngủ với mình để cảm ơn",Negative
53,"Nghe cô e nói chuyện đồ rằng cách cài game cô em cũng đéo biết. Thuật ngữ game như GG FF em cũng mù mờ như tương lai của em vậy. Anh chiều đc nghỉ đang rảnh nên a ko ngại thông cái não em ra. Tiếng anh đầy đủ là Untimate. Chatgpt giải thích cho em là Ultimate → nghĩa là “tối thượng”, “cuối cùng”, “cao nhất”. Ví dụ: “ultimate goal” = mục tiêu tối thượng “ultimate version” = phiên bản mạnh nhất/tốt nhất Ult → viết tắt của “ultimate”, thường dùng trong game để chỉ “chiêu cuối”.",Neutral
54,Nhưng anh xóa cho mỗi thằng Guma thôi hả anh? Em hỏi thật không giỡn 🥺,Neutral
55,Đầu óc t dơ chứ t đâu ỉa vào bát cơm m đâu mà chõ mõm vào,Negative
56,thằng này tạo acc trắng đi cmt dạo bảo vệ Hoàng Luân chắc vì muốn được ngủ với Hoàng Luân nên giờ nghĩ ai cũng như nó,Negative
57,việc loz j mà phải hèn 0/7 vẫn cứ lao lên th sợ dái j oh yeah,Neutral
58,phong độ đã như c rồi còn làm loz gì kb,Negative
59,Đếch quan tâm Guma dễ thương nên quan tâm nhỏ thuii,Positive
60,"Chơi kaisa mà toàn lao vào mở, tìm góc make play không ấy =)))) nó R lần nào team bạn hú hồn lần đó, rất ảo thuật",Neutral
61,"Chuyên mục sẽ được kết thúc khi HLE đăng quang 👑 4peat for Gumayusi 🦅 Huy chương vàng Asiad cho M.H.Lee 🏅
Đồng hành cùng em trên chặng đường mới. Hẹn gặp Guma trên đỉnh vinh quang tiếp theo của cả 2 chúng mình 💪",Positive
62,"Ngon lắmmm, ván này chuchi chơi rất vui tay :3 tình đầu có khác",Positive
63,Dth dạ,Positive
64,Khóc nãy h ch hết lun c oi e hạnh phúc quáaaa,Positive
65,Zeus giỏi vãi l. Mấy con gà biết gì,Positive
66,kèo bin - zeus chưa bao giờ hết hấp dẫn,Neutral
67,cha mẹ nó chắc tự hào về nó lắm 🥹,Negative
68,má chó con này cho fan cái vị trí mà k phải ganh tị vs ai lun á🤷‍♀️ t thành sỹ vương mất m ơi,Positive
69,2-0 đánh con Leesin quá bá 18/2/5,Positive
70,Cố lênnnnnnnnnn,Neutral
71,"Nũng nịu và hoạt hình :)))
Nằm một cục nhìn iêu váiiiii",Positive
72,"Pha này thật sự hay điên ấy, tìm dc ashe mà cait còn câu kéo mãi k chết
Si nái lụa ròi cả nhà ơiii không trêu em nái mới nữa😭",Positive
73,"Dk hơi hừng thật nma corki hay thật mà, anti thấy hle thắng cay đổ hết cho dk hừng nhưng con corki nó bị aim suốt mà đánh tỉnh táo vl =)))
Game 1 tui đi mua đồ vào coi đã 0/4, chuyện gì đã xảy ra vậy …",Neutral
74,"Chúc cho xạ thủ đội tuyển quốc gia Hàn Quốc M.H.LEE bình tĩnh trước khó khăn, tự tin trước thử thách, chiến thắng trước mọi đối thủ để giành lấy tấm HCV ASIAN GAMES 2026 nhé 🥇🔥✨🇰🇷",Positive
75,Giống lúc anh ngiu lỡ đánh mình xong nựng mặt mình xin lỗi ha ? (Trưa nắng nên bị khùng 🫩),Neutral
76,UPPP,Neutral
77,V tui đến từ kỷ phấn trắng,Neutral
78,"dạ 173 ạaa
em cảm ơn chị đã GA ạ",Positive
79,Sao hông nghĩ là dì có thẻ riêng khác…,Neutral
80,Thấy mn tranh luận tại ko có chovy ròi bảo là mới đưa ra những cái tên này thôi . Tháng 6 sau khi nghe ý kiến thì chốt đội hình chính thức làm mình nghi ngờ😅,Neutral
81,Gửi thư lên Kespa với tư cách công dân việt nam à 😋👆,Neutral
82,Nhắn suis cập nhật ik đừng R ngược nữa 😭😭,Neutral
83,Ê t cx vote m4 🤡,Neutral
84,Ai POP hay ổng live Donate hỏi liền đi :)))))))) Varus gấp nha,Neutral
85,Ê. Ước j bên Gustone lên donate r nhắc nó vụ này ha🤣🤣🤣,Negative
86,nãy e thấy có 2 3 b fan geng dịch r á chị,Neutral
87,Anh Cuzz cũng quái vl ra ảnh biết thằng Guma hay đề phòng mấy quả gank early của ảnh nên ảnh chơi chiêu z đó 😭,Positive
88,Cuzz cũng bảo là điều kiện thắng hôm nay xoay quanh bot nên khi thấy bot đang bị đẩy căng quá thì ảnh quyết định xuống luôn thôi chớ KT cũng không có tính toán từ trước nữa ý 👉👈,Neutral
89,này là quyết định sai th vì tình huống 50-50,Neutral
90,"Thì t cũng bảo là team phán đoán cuzz cướp bùa xanh mà, vì có cơ sở để đoán như vậy á 😂
Và tình huống k tính 50:50 được vì cuzz có bước di chuyển lên phía bùa xanh thật mà",Neutral
