id,data,label_huy,label_ngan,label_choe
16,"2 pha quét sạch, 1 pha 5k dame, 1 pha 10k dame.
AD Carry lực nhất thế giới",positive,neutral,positive
17,"mấy đứa chê Guma đúng ếch😌 chỉ thấy bề nổi của tảng băng chìm😌 phải thấy KDA các ván cao chót vót, phải nhiều penta thì mới là oai, chứ có baoh xem quá trình tuyển thủ đi đường hay nhìn dam cuối trận tổng là bao nhiêu đâu😌",positive,neutral,neutral
18,"ngầm ý bảo thằng zeus không hy sinh thì hơn cả nực cười 😂😂😂😂 mấy con loz lại bắt đầu kêu em tao bắt đầu 1 vụ cƯớP kkkk chả hiểu cướp cái lồn gì khi nó là lựa chọn ƯU TIÊN và DUY NHẤT. ONE AND ONLY đéo bàn cãi, giãy thì viết khiếu nại, xàm lồn ăn chửi đéo oan. tao chính là chửi CEO GENG hôm nay đấy, cư xử ngu dốt đến tột cùng",positive,negative,negative
19,ván 1 oánh max ping nên ván 2 chill chill đẩy lẻ kakakakkakak ĂN POM TỐT LN ẤY CHỨ EM ZÚT TÔI ĐÓ CLASSIC RESPECT,positive,neutral,positive
22,Năm ngoái thấy tội nhóc này nhất luôn. Smash vs zeus là 2 đứa bị chửi nhiều mà còn chửi oan ức vi ci eo. Năm nay thấy e nó vui vẻ ở dk cũng mừng cho ẻm,neutral,positive,positive
23,"Tính ra cái câu joke đó hài vcc, mà chắc mẹ bĩm tới tháng, hơi nhạy cảm nên phải lên thread khóc cho thiên hạ xem, mà hiệu quả thật, hoá ra trên cái nền tảng này lắm con hãm lz giống nhau",negative,neutral,negative
24,"Cắt tóc đẹp trai, trẻ trâu v mà 😭",positive,neutral,positive
27,nhìn dmg caitlyn bắn ở tầm xa mà rỉ😛,positive,neutral,positive
29,Xin lỗi vì đã kệ mẹ thay vì đi def cho thằng ad trẻ khác dù thằng ad nhà mình còn đang trầy trật với đám khốn nạn ngoài kia 😅🙏💦,neutral,negative,negative
30,Ủa cái này là gì z mom ai đang rank ạ ?,neutral,positive,neutral
31,Ê nha ê nha dth dữ z tr 👉👈,neutral,positive,positive
33,"không sao, cố gắng chờ em nó trở lại 🫳🏻",neutral,positive,positive
39,"Được cái tuyệt đối không tha cho T1 với tuyển thủ T1 luôn ta ơi, lúc nhà nó chơi Zigg thắng thì vẫn có đứa nó nhắc T1, nay fan T1 thuần khen T1 không nhắc đến tên ai thì
@sno_wball98 cũng phải chọt fan T1 1 cái , không quên được T1 hay luỵ nyc mà cứ phải dí mỏ vào chuyện nhà T1 thế em? Thay máu rồi mà em nhỉ 😞",positive,neutral,negative
40,Quá vớ vẩn và xàm l ! Dcme oner bị scam quả đau vãi l,neutral,negative,negative
41,fan Zeus cũng k biết cái văn mẫu này ở đâu nữa=))) hàng trôi nổi k rõ nguồn gốc,negative,neutral,neutral
42,T thấy giống Buzz bên Vlr á,neutral,positive,neutral
47,"Em biết các anh chị thích trai trẻ rồi, nma để ý th xạ thủ già của đội tuyển quốc gia này một tí 😔💔🐧",neutral,positive,positive
48,"Fan đội khác tự dưng lại đi chĩa mỏ vào, rồi cái câu ""Việc nhà mày à?"" đâu phải tự dưng sinh ra =)) Giận quá mất khôn, nói khùng nói điên gì đâu không",positive,negative,negative
51,Đàn bò nhà ảnh nuôi còn kêu là ảnh chửi thì nghe thôi thì biết nước đi của ảnh quá đỉnh rồi.,neutral,negative,negative
53,"Nghe cô e nói chuyện đồ rằng cách cài game cô em cũng đéo biết. Thuật ngữ game như GG FF em cũng mù mờ như tương lai của em vậy. Anh chiều đc nghỉ đang rảnh nên a ko ngại thông cái não em ra. Tiếng anh đầy đủ là Untimate. Chatgpt giải thích cho em là Ultimate → nghĩa là “tối thượng”, “cuối cùng”, “cao nhất”. Ví dụ: “ultimate goal” = mục tiêu tối thượng “ultimate version” = phiên bản mạnh nhất/tốt nhất Ult → viết tắt của “ultimate”, thường dùng trong game để chỉ “chiêu cuối”.",neutral,negative,negative
57,việc loz j mà phải hèn 0/7 vẫn cứ lao lên th sợ dái j oh yeah,neutral,negative,positive
